sku_code,month,actual,timesfm_point,abs_error
6941770800411,2025-03,34.0,53.6,19.6
6941770800411,2025-04,57.0,68.8,11.8
6941770800411,2025-05,48.0,78.1,30.1
6941770800411,2025-06,47.0,76.7,29.7
6941770800411,2025-07,17.0,71.1,54.1
6941770800411,2025-08,25.0,68.2,43.2
6941770800411,2025-09,26.0,70.2,44.2
6941770800411,2025-10,48.0,76.0,28.0
6941770800411,2025-11,50.0,74.0,24.0
6941770800411,2025-12,46.0,66.2,20.2
6941770800411,2026-01,80.0,57.6,22.4
6941770800411,2026-02,32.0,53.6,21.6
6941770800428,2025-03,55.0,74.5,19.5
6941770800428,2025-04,25.0,121.8,96.8
6941770800428,2025-05,75.0,137.4,62.4
6941770800428,2025-06,135.0,102.9,32.1
6941770800428,2025-07,61.0,70.9,9.9
6941770800428,2025-08,56.0,70.8,14.8
6941770800428,2025-09,75.0,89.0,14.0
6941770800428,2025-10,111.0,105.1,5.9
6941770800428,2025-11,109.0,107.0,2.0
6941770800428,2025-12,104.0,100.7,3.3
6941770800428,2026-01,46.0,86.8,40.8
6941770800428,2026-02,33.0,81.7,48.7
6941770800435,2025-03,114.0,119.6,5.6
6941770800435,2025-04,193.0,207.7,14.7
6941770800435,2025-05,163.0,222.5,59.5
6941770800435,2025-06,134.0,157.3,23.3
6941770800435,2025-07,99.0,110.3,11.3
6941770800435,2025-08,102.0,121.9,19.9
6941770800435,2025-09,132.0,156.7,24.7
6941770800435,2025-10,142.0,178.2,36.2
6941770800435,2025-11,217.0,178.9,38.1
6941770800435,2025-12,131.0,155.7,24.7
6941770800435,2026-01,92.0,133.4,41.4
6941770800435,2026-02,42.0,127.9,85.9
6941770800442,2025-03,194.0,192.3,1.7
6941770800442,2025-04,205.0,288.4,83.4
6941770800442,2025-05,192.0,278.7,86.7
6941770800442,2025-06,186.0,203.8,17.8
6941770800442,2025-07,128.0,163.7,35.7
6941770800442,2025-08,115.0,177.1,62.1
6941770800442,2025-09,187.0,207.9,20.9
6941770800442,2025-10,246.0,234.7,11.3
6941770800442,2025-11,244.0,241.5,2.5
6941770800442,2025-12,179.0,220.1,41.1
6941770800442,2026-01,126.0,188.5,62.5
6941770800442,2026-02,55.0,181.3,126.3
6941770800459,2025-03,136.0,156.0,20.0
6941770800459,2025-04,145.0,246.0,101.0
6941770800459,2025-05,165.0,258.8,93.8
6941770800459,2025-06,121.0,197.3,76.3
6941770800459,2025-07,107.0,153.0,46.0
6941770800459,2025-08,114.0,163.7,49.7
6941770800459,2025-09,117.0,199.9,82.9
6941770800459,2025-10,144.0,231.3,87.3
6941770800459,2025-11,150.0,232.0,82.0
6941770800459,2025-12,155.0,194.7,39.7
6941770800459,2026-01,69.0,159.1,90.1
6941770800459,2026-02,39.0,149.0,110.0
6941770800466,2025-03,229.0,223.4,5.6
6941770800466,2025-04,238.0,298.9,60.9
6941770800466,2025-05,275.0,324.3,49.3
6941770800466,2025-06,258.0,299.1,41.1
6941770800466,2025-07,202.0,291.8,89.8
6941770800466,2025-08,223.0,301.9,78.9
6941770800466,2025-09,194.0,330.9,136.9
6941770800466,2025-10,250.0,345.6,95.6
6941770800466,2025-11,193.0,332.1,139.1
6941770800466,2025-12,139.0,294.8,155.8
6941770800466,2026-01,101.0,271.8,170.8
6941770800466,2026-02,73.0,260.9,187.9
6941770800473,2025-03,302.0,246.7,55.3
6941770800473,2025-04,266.0,397.7,131.7
6941770800473,2025-05,386.0,482.1,96.1
6941770800473,2025-06,308.0,488.0,180.0
6941770800473,2025-07,322.0,490.4,168.4
6941770800473,2025-08,245.0,510.4,265.4
6941770800473,2025-09,210.0,554.0,344.0
6941770800473,2025-10,262.0,575.1,313.1
6941770800473,2025-11,169.0,522.8,353.8
6941770800473,2025-12,119.0,395.7,276.7
6941770800473,2026-01,76.0,293.7,217.7
6941770800473,2026-02,65.0,241.8,176.8
6941770800480,2025-03,117.0,110.2,6.8
6941770800480,2025-04,106.0,166.4,60.4
6941770800480,2025-05,157.0,214.3,57.3
6941770800480,2025-06,115.0,248.7,133.7
6941770800480,2025-07,167.0,260.8,93.8
6941770800480,2025-08,129.0,246.5,117.5
6941770800480,2025-09,100.0,237.0,137.0
6941770800480,2025-10,68.0,225.2,157.2
6941770800480,2025-11,68.0,189.8,121.8
6941770800480,2025-12,30.0,139.3,109.3
6941770800480,2026-01,29.0,104.4,75.4
6941770800480,2026-02,8.0,81.8,73.8
6941770800497,2025-03,95.0,124.2,29.2
6941770800497,2025-04,147.0,173.3,26.3
6941770800497,2025-05,254.0,283.2,29.2
6941770800497,2025-06,205.0,372.7,167.7
6941770800497,2025-07,205.0,422.3,217.3
6941770800497,2025-08,203.0,383.8,180.8
6941770800497,2025-09,167.0,347.5,180.5
6941770800497,2025-10,195.0,289.0,94.0
6941770800497,2025-11,96.0,231.3,135.3
6941770800497,2025-12,66.0,141.5,75.5
6941770800497,2026-01,65.0,102.3,37.3
6941770800497,2026-02,33.0,72.9,39.9
6941770800503,2025-03,90.0,133.8,43.8
6941770800503,2025-04,102.0,148.2,46.2
6941770800503,2025-05,124.0,155.2,31.2
6941770800503,2025-06,127.0,151.5,24.5
6941770800503,2025-07,61.0,148.4,87.4
6941770800503,2025-08,75.0,150.3,75.3
6941770800503,2025-09,96.0,157.4,61.4
6941770800503,2025-10,174.0,166.5,7.5
6941770800503,2025-11,182.0,162.6,19.4
6941770800503,2025-12,250.0,154.7,95.3
6941770800503,2026-01,139.0,145.2,6.2
6941770800503,2026-02,71.0,139.8,68.8
6941770800510,2025-03,133.0,180.6,47.6
6941770800510,2025-04,154.0,334.4,180.4
6941770800510,2025-05,193.0,358.4,165.4
6941770800510,2025-06,176.0,249.1,73.1
6941770800510,2025-07,125.0,158.5,33.5
6941770800510,2025-08,84.0,153.8,69.8
6941770800510,2025-09,152.0,243.0,91.0
6941770800510,2025-10,204.0,322.1,118.1
6941770800510,2025-11,146.0,320.4,174.4
6941770800510,2025-12,199.0,257.1,58.1
6941770800510,2026-01,65.0,182.2,117.2
6941770800510,2026-02,75.0,162.0,87.0
6941770800527,2025-03,306.0,393.7,87.7
6941770800527,2025-04,439.0,695.4,256.4
6941770800527,2025-05,451.0,702.9,251.9
6941770800527,2025-06,405.0,461.2,56.2
6941770800527,2025-07,247.0,317.7,70.7
6941770800527,2025-08,202.0,360.1,158.1
6941770800527,2025-09,360.0,504.0,144.0
6941770800527,2025-10,438.0,609.1,171.1
6941770800527,2025-11,470.0,608.9,138.9
6941770800527,2025-12,252.0,526.4,274.4
6941770800527,2026-01,149.0,406.1,257.1
6941770800527,2026-02,78.0,390.7,312.7
6941770800534,2025-03,520.0,675.6,155.6
6941770800534,2025-04,811.0,964.2,153.2
6941770800534,2025-05,734.0,892.1,158.1
6941770800534,2025-06,597.0,637.6,40.6
6941770800534,2025-07,469.0,554.5,85.5
6941770800534,2025-08,364.0,645.4,281.4
6941770800534,2025-09,557.0,797.5,240.5
6941770800534,2025-10,663.0,898.0,235.0
6941770800534,2025-11,566.0,880.1,314.1
6941770800534,2025-12,385.0,745.3,360.3
6941770800534,2026-01,229.0,633.4,404.4
6941770800534,2026-02,131.0,616.8,485.8
6941770800541,2025-03,406.0,446.9,40.9
6941770800541,2025-04,539.0,664.6,125.6
6941770800541,2025-05,534.0,698.1,164.1
6941770800541,2025-06,449.0,576.2,127.2
6941770800541,2025-07,415.0,502.5,87.5
6941770800541,2025-08,429.0,544.1,115.1
6941770800541,2025-09,418.0,640.8,222.8
6941770800541,2025-10,450.0,713.5,263.5
6941770800541,2025-11,365.0,703.6,338.6
6941770800541,2025-12,261.0,612.6,351.6
6941770800541,2026-01,112.0,515.8,403.8
6941770800541,2026-02,56.0,476.8,420.8
6941770800558,2025-03,445.0,403.9,41.1
6941770800558,2025-04,747.0,492.3,254.7
6941770800558,2025-05,765.0,583.7,181.3
6941770800558,2025-06,732.0,577.8,154.2
6941770800558,2025-07,634.0,643.4,9.4
6941770800558,2025-08,565.0,665.0,100.0
6941770800558,2025-09,774.0,759.7,14.3
6941770800558,2025-10,630.0,807.1,177.1
6941770800558,2025-11,417.0,818.8,401.8
6941770800558,2025-12,273.0,709.4,436.4
6941770800558,2026-01,122.0,597.6,475.6
6941770800558,2026-02,71.0,540.3,469.3
6941770800565,2025-03,354.0,223.8,130.2
6941770800565,2025-04,469.0,334.7,134.3
6941770800565,2025-05,589.0,504.6,84.4
6941770800565,2025-06,590.0,650.7,60.7
6941770800565,2025-07,491.0,736.0,245.0
6941770800565,2025-08,411.0,798.3,387.3
6941770800565,2025-09,420.0,845.2,425.2
6941770800565,2025-10,342.0,806.9,464.9
6941770800565,2025-11,219.0,739.5,520.5
6941770800565,2025-12,155.0,602.1,447.1
6941770800565,2026-01,68.0,449.1,381.1
6941770800565,2026-02,54.0,331.7,277.7
6941770800572,2025-03,82.0,108.2,26.2
6941770800572,2025-04,118.0,184.1,66.1
6941770800572,2025-05,149.0,282.5,133.5
6941770800572,2025-06,169.0,322.2,153.2
6941770800572,2025-07,184.0,308.6,124.6
6941770800572,2025-08,186.0,264.8,78.8
6941770800572,2025-09,123.0,252.8,129.8
